ROM DataFile Version : 1.1
Budget Familial¬budget¬¬¬./qp.exe¬MAME Tandy Radio Shack Alice 90 -SOFTLIST alice90¬Matra¬1985¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Dessine Moi¬dessin¬¬¬./qp.exe¬MAME Tandy Radio Shack Alice 90 -SOFTLIST alice90¬Matra¬1985¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Fringale¬fringale¬¬¬./qp.exe¬MAME Tandy Radio Shack Alice 90 -SOFTLIST alice90¬EH Services¬1985¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Galixian¬galixian¬¬¬./qp.exe¬MAME Tandy Radio Shack Alice 90 -SOFTLIST alice90¬Sprites¬1984¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Incrustation Video 40 Colonnes¬incv40¬¬¬./qp.exe¬MAME Tandy Radio Shack Alice 90 -SOFTLIST alice90¬Matra¬1985¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Monopolic¬monop¬¬¬./qp.exe¬MAME Tandy Radio Shack Alice 90 -SOFTLIST alice90¬Free Game Blot (Matra)¬1985¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Plan de Vol¬planvl¬¬¬./qp.exe¬MAME Tandy Radio Shack Alice 90 -SOFTLIST alice90¬EH Services¬1985¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
T'extra¬textra¬¬¬./qp.exe¬MAME Tandy Radio Shack Alice 90 -SOFTLIST alice90¬Matra¬1985¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
