ROM DataFile Version : 1.1
ALJUR .COD¬aljur¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file ALJUR .COD inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Bolde2¬bolde2¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Bolde2 inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Bolder2¬bolder2¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Bolder2 inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Bolder3¬bolder3¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Bolder3 inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Bomb4¬bomb4¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Bomb4 inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
breach¬breach¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file breach inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Break¬break¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Break inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Breaking¬breaking¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Breaking inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Brhouse¬brhouse¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Brhouse inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Bubbler¬bubbler¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Bubbler inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Bubler¬bubler¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Bubler inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Cache¬cache¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Cache inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Cave¬cave¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Cave inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Cave_doc¬cavedoc¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Cave_doc inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Cave_man¬caveman¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Cave_man inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Cave_res¬caveres¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Cave_res inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Chaser¬chaser¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Chaser inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
Checkers¬checkers¬¬¬./qp.exe¬MAME Elektronika BK 0010 -SOFTLIST bk0010¬<unknown>¬19??¬¬¬¬¬usage:Load file Checkers inside the Monitor¬0¬1¬<IPS>¬</IPS>¬¬¬
