ROM DataFile Version : 1.1
ROMDISK¬romdisk¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cart (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ORDOS403¬ordos403¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cart (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
