ROM DataFile Version : 1.1
6GAMES¬6games¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Alien Ambush¬alambush¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬Sedov E. A.¬1990¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
The Ball Game¬ball¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬Sandy Pat Corp.¬1990¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Barmen (v1.5)¬barmen¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬ALG¬1988¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Bomber Aircraft¬bomber¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬Jup Corp¬1990¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Boulder Dash (v2)¬bdash¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬Clever Hands Software¬1989¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Chess¬chess¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cirk (v1.2)¬cirk¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬Popov S.N.¬1986¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cross Fire (v004)¬crossfir¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬Zyryanov A.V.¬1988¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
DIGGER¬digger¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
GARDEN¬garden¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
GONKA¬gonka¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
HOCKEY¬hockey¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
KINDZADZ¬kindzadz¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
KLAD¬klad¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LESTNICA¬lestnica¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LIFE¬life¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LIFE (Alt)¬lifea¬life¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LIQSKY¬liqsky¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MACH3¬mach3¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MARS¬mars¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MAZE¬maze¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MINES¬mines¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
OTHELLO¬othello¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PACMAN¬pacman¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PANIKA¬panika¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PENTIS¬pentis¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PERELET¬perelet¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
REVERSI¬reversi¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
REVERSI2¬reversi2¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
RIKOSHET¬rikoshet¬¬¬./qp.exe¬Retroarch Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
