ROM DataFile Version : 1.1
C128 Diagnostic (v1.1)¬c128diag¬¬¬./qp.exe¬MAME Commodore 128 (NTSC) -SOFTLIST c128_cart NTSC only¬Commodore¬1987¬¬¬¬¬game:1,exrom:1¬0¬1¬<IPS>¬</IPS>¬¬¬
C128 Diagnostic¬c128diaga¬c128diag¬¬./qp.exe¬MAME Commodore 128 (NTSC) -SOFTLIST c128_cart NTSC only¬Commodore¬198?¬¬¬¬¬game:1,exrom:1¬0¬1¬<IPS>¬</IPS>¬¬¬
C128DCR Diagnostic¬c128diagdcr¬c128diag¬¬./qp.exe¬MAME Commodore 128 (NTSC) -SOFTLIST c128_cart NTSC only¬Commodore¬198?¬¬¬¬¬game:1,exrom:1¬0¬1¬<IPS>¬</IPS>¬¬¬
C128/40 Diagnostic (Rev 588121)¬c128dg40¬¬¬./qp.exe¬MAME Commodore 128 (NTSC) -SOFTLIST c128_cart NTSC only¬Commodore¬198?¬¬¬¬¬game:1,exrom:1¬0¬1¬<IPS>¬</IPS>¬¬¬
MACH 128 (v.1A)¬mach128¬¬¬./qp.exe¬MAME Commodore 128 (NTSC) -SOFTLIST c128_cart NTSC only¬Access Software¬1985¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MACH 128 (v.2A)¬mach128_2a¬mach128¬¬./qp.exe¬MAME Commodore 128 (NTSC) -SOFTLIST c128_cart NTSC only¬Access Software¬1985¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
VizaStar 128: The Information Processor¬vstar128¬¬¬./qp.exe¬MAME Commodore 128 (NTSC) -SOFTLIST c128_cart NTSC only¬Viza¬1984¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
