ROM DataFile Version : 1.1
HELICOPT¬helicopt¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
JET-SET¬jetset¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
JUMPJEK¬jumpjek¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
KAMIKADZ¬kamikadz¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
KLAD¬klad¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
KLAD2¬klad2¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
KOLOBKI¬kolobki¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
KOM13_1¬kom131¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
KOM13_2¬kom132¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
KRESTNO¬krestno¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
KROT¬krot¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LADDER¬ladder¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LAMP¬lamp¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LAND¬land¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LAND_C¬landc¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LAND_S¬lands¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LODERUN¬loderun¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
