ROM DataFile Version : 1.1
LADDER$¬ladder¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LAND$¬land¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LAND2$¬land2¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LAND3$¬land3¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LAND5$¬land5¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LK-LEND$¬lklend¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LODERUN$¬loderun¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
M_MINER$¬mminer¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MAGIE$¬magie¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MANNER$¬manner¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MARS$¬mars¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MOLE$¬mole¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MOONFOX$¬moonfox¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
NARDY$¬nardy¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
OTELLO$¬otello¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PACMAN$¬pacman¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
