ROM DataFile Version : 1.1
Art of Fighting 2 (USA) ~ Ryuuko no Ken 2 (Jpn)¬aof2¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (US) -SOFTLIST neocd¬SNK¬1994¬¬¬¬¬alt_title:2,serial:NGCD-056 (JPN),release:19940909 (JPN)¬0¬1¬<IPS>¬</IPS>¬¬¬
Art of Fighting - Ryuuko no Ken Gaiden (Jpn)¬aof3¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (Japan) -SOFTLIST neocd¬SNK¬1996¬¬¬¬¬alt_title: ,serial:NGCD-096,release:19960614¬0¬1¬<IPS>¬</IPS>¬¬¬
Art of Fighting 3 - Path of the Warrior (USA) ~ Art of Fighting - Ryuuko no Ken Gaiden (Jpn)¬aof3a¬aof3¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (US) -SOFTLIST neocd¬SNK¬1996¬¬¬¬¬alt_title: ,serial:NGCD-096 (JPN),release:19960614 (JPN)¬0¬1¬<IPS>¬</IPS>¬¬¬
Baseball Stars 2 (Jpn, USA)¬bstars2¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (US) -SOFTLIST neocd¬SNK¬1994¬¬¬¬¬alt_title:2,serial:NGCD-041 (JPN),release:19940909 (JPN)¬0¬1¬<IPS>¬</IPS>¬¬¬
Baseball Stars Professional (Jpn, USA)¬bstars¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (US) -SOFTLIST neocd¬SNK¬1995¬¬¬¬¬alt_title: ,serial:NGCD-002 (JPN),release:19950421 (JPN)¬0¬1¬<IPS>¬</IPS>¬¬¬
Breakers (Jpn)¬breakers¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (Japan) -SOFTLIST neocd¬Visco¬1997¬¬¬¬¬alt_title:,serial:NGCD-2300,release:19970425¬0¬1¬<IPS>¬</IPS>¬¬¬
Burning Fight (Jpn, USA)¬burningf¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (US) -SOFTLIST neocd¬SNK¬1994¬¬¬¬¬alt_title:,serial:NGCD-018 (JPN),release:19940909 (JPN)¬0¬1¬<IPS>¬</IPS>¬¬¬
Treasure of the Caribbean (Fra)¬totc¬¬¬./qp.exe¬MAME Treasure of the Caribbean (Fra)¬Neo Conception International¬2011?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Crossed Swords (Jpn)¬crsword¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (Japan) -SOFTLIST neocd¬ADK¬1994¬¬¬¬¬alt_title:,serial:ADCD-002,release:19941031¬0¬1¬<IPS>¬</IPS>¬¬¬
Cyber-Lip (Jpn, USA)¬cyberlip¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (US) -SOFTLIST neocd¬SNK¬1995¬¬¬¬¬alt_title:,serial:NGCD-010 (JPN),release:19950421 (JPN)¬0¬1¬<IPS>¬</IPS>¬¬¬
Fatal Fury - The Battle of Fury (USA) ~ Garou Densetsu - Shukumei no Tatakai (Jpn)¬fatfury1¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (US) -SOFTLIST neocd¬SNK¬1994¬¬¬¬¬alt_title: ,serial:NGCD-033 (JPN),release:19940909 (JPN)¬0¬1¬<IPS>¬</IPS>¬¬¬
Fatal Fury 2 (USA) ~ Garou Densetsu 2 - Aratanaru Tatakai (Jpn)¬fatfury2¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (US) -SOFTLIST neocd¬SNK¬1994¬¬¬¬¬alt_title:2 ,serial:NGCD-047 (JPN),release:19940909 (JPN)¬0¬1¬<IPS>¬</IPS>¬¬¬
Fatal Fury Special (USA) ~ Garou Densetsu Special (Jpn)¬fatfursp¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (US) -SOFTLIST neocd¬SNK¬1994¬¬¬¬¬alt_title: ,serial:NGCD-058 (JPN),release:19940909 (JPN)¬0¬1¬<IPS>¬</IPS>¬¬¬
Football Frenzy (Jpn, USA)¬fbfrenzy¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (US) -SOFTLIST neocd¬SNK¬1994¬¬¬¬¬alt_title:,serial:NGCD-034 (JPN),release:19940909 (JPN)¬0¬1¬<IPS>¬</IPS>¬¬¬
Futsal - 5 on 5 Mini Soccer (Jpn)¬pgoal¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (Japan) -SOFTLIST neocd¬Saurus¬1996¬¬¬¬¬alt_title:,serial:NGCD-219,release:19960719¬0¬1¬<IPS>¬</IPS>¬¬¬
Galaxy Fight - Universal Warriors (Jpn, USA)¬galaxyfg¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (US) -SOFTLIST neocd¬Sunsoft¬1995¬¬¬¬¬alt_title:  ,serial:NGCD-078 (JPN),release:19950421 (JPN)¬0¬1¬<IPS>¬</IPS>¬¬¬
Ghost Pilots (Jpn)¬gpilots¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (Japan) -SOFTLIST neocd¬SNK¬1995¬¬¬¬¬alt_title:,serial:NGCD-020,release:19950317¬0¬1¬<IPS>¬</IPS>¬¬¬
Janshin Densetsu - Quest of the Jongmaster (Jpn)¬janshin¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (Japan) -SOFTLIST neocd¬Aicom¬1995¬¬¬¬¬alt_title:,serial:AICD-048,release:19950331¬0¬1¬<IPS>¬</IPS>¬¬¬
Karnov's Revenge (USA) ~ Fighter's History Dynamite (Jpn)¬karnovr¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (US) -SOFTLIST neocd¬Data East¬1994¬¬¬¬¬alt_title:,serial:DECD-003 (JPN),release:19941222 (JPN)¬0¬1¬<IPS>¬</IPS>¬¬¬
The King of Fighters '94 (Jpn, USA)¬kof94¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (US) -SOFTLIST neocd¬SNK¬1994¬¬¬¬¬alt_title: '94,serial:NGCD-055 (JPN),release:19941102 (JPN)¬0¬1¬<IPS>¬</IPS>¬¬¬
The King of Fighters '94 (Jpn, USA, Alt)¬kof94a¬kof94¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (US) -SOFTLIST neocd¬SNK¬1994¬¬¬¬¬alt_title: '94,serial:NGCD-055 (JPN),release:19941102 (JPN)¬0¬1¬<IPS>¬</IPS>¬¬¬
