ROM DataFile Version : 1.1
LAND2$¬land2¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LAND3$¬land3¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LAND5$¬land5¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LK-LEND$¬lklend¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LODERUN$¬loderun¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
M_MINER$¬mminer¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MAGIE$¬magie¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MANNER$¬manner¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MARS$¬mars¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MOLE$¬mole¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MOONFOX$¬moonfox¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
NARDY$¬nardy¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
OTELLO$¬otello¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PACMAN$¬pacman¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PAUK$¬pauk¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PINGVIN$¬pingvin¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PITON$¬piton¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
POKER$¬poker¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
POOL$¬pool¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
RACES$¬races¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
RALLY$¬rally¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
RANGER$¬ranger¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
REVERSI$¬reversi¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
RICOS$¬ricos¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SABOTER$¬saboter¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SCDL$¬scdl¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SHAR$¬shar¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SHASHKI$¬shashki¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SOKOBAN$¬sokoban¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SPEAKER$¬speaker¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
