ROM DataFile Version : 1.1
Music Machine (Euro, USA)¬musicm¬¬¬./qp.exe¬Retroarch Commodore VIC-10 / Max Machine / UltiMax (NTSC) -SOFTLIST vic10 (MAME)¬Commodore¬1982¬¬¬¬¬serial:C-64402¬0¬1¬<IPS>¬</IPS>¬¬¬
Omega Race (Jpn, v.02)¬omegrace¬¬¬./qp.exe¬Retroarch Commodore VIC-10 / Max Machine / UltiMax (NTSC) -SOFTLIST vic10 (MAME)¬Commodore¬1982¬¬¬¬¬serial:C-64614¬0¬1¬<IPS>¬</IPS>¬¬¬
Pinball Spectacular (World)¬pinspec¬¬¬./qp.exe¬Retroarch Commodore VIC-10 / Max Machine / UltiMax (NTSC) -SOFTLIST vic10 (MAME)¬Commodore / HAL Laboratory¬1983¬¬¬¬¬serial:C-64617¬0¬1¬<IPS>¬</IPS>¬¬¬
Radar Rat Race (Alt)¬radarrr2¬radarrr¬¬./qp.exe¬Retroarch Commodore VIC-10 / Max Machine / UltiMax (NTSC) -SOFTLIST vic10 (MAME)¬Commodore¬1982¬¬¬¬¬serial:C-64605¬0¬1¬<IPS>¬</IPS>¬¬¬
Radar Rat Race (Jpn, v.02, Alt)¬radarrr1¬radarrr¬¬./qp.exe¬Retroarch Commodore VIC-10 / Max Machine / UltiMax (NTSC) -SOFTLIST vic10 (MAME)¬Commodore¬1982¬¬¬¬¬serial:C-64605¬0¬1¬<IPS>¬</IPS>¬¬¬
Radar Rat Race (Jpn, v.02)¬radarrr¬¬¬./qp.exe¬Retroarch Commodore VIC-10 / Max Machine / UltiMax (NTSC) -SOFTLIST vic10 (MAME)¬Commodore¬1982¬¬¬¬¬serial:C-64605¬0¬1¬<IPS>¬</IPS>¬¬¬
Road Race (Jpn, v.02)¬roadrace¬¬¬./qp.exe¬Retroarch Commodore VIC-10 / Max Machine / UltiMax (NTSC) -SOFTLIST vic10 (MAME)¬Commodore / HAL Laboratory¬1983¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Sea Wolf (Euro, USA)¬seawolf¬¬¬./qp.exe¬Retroarch Commodore VIC-10 / Max Machine / UltiMax (NTSC) -SOFTLIST vic10 (MAME)¬Commodore¬1982¬¬¬¬¬serial:C-64603¬0¬1¬<IPS>¬</IPS>¬¬¬
Speed Math & Bingo Math (Euro, USA, v.01)¬spedmath¬¬¬./qp.exe¬Retroarch Commodore VIC-10 / Max Machine / UltiMax (NTSC) -SOFTLIST vic10 (MAME)¬Commodore¬1982¬¬¬¬¬serial:C-64604¬0¬1¬<IPS>¬</IPS>¬¬¬
Super Alien (Jpn, v.01)¬supalien¬¬¬./qp.exe¬Retroarch Commodore VIC-10 / Max Machine / UltiMax (NTSC) -SOFTLIST vic10 (MAME)¬Commodore¬1982¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
The Visible Solar System (Euro, USA)¬solarsys¬¬¬./qp.exe¬Retroarch Commodore VIC-10 / Max Machine / UltiMax (NTSC) -SOFTLIST vic10 (MAME)¬Commodore¬1982¬¬¬¬¬serial:C-64609¬0¬1¬<IPS>¬</IPS>¬¬¬
Wizard of Wor (Jpn, v.01)¬wowa¬wow¬¬./qp.exe¬Retroarch Commodore VIC-10 / Max Machine / UltiMax (NTSC) -SOFTLIST vic10 (MAME)¬Commodore¬1982¬¬¬¬¬serial:C-64615¬0¬1¬<IPS>¬</IPS>¬¬¬
Wizard of Wor (Jpn, v.02)¬wow¬¬¬./qp.exe¬Retroarch Commodore VIC-10 / Max Machine / UltiMax (NTSC) -SOFTLIST vic10 (MAME)¬Commodore¬1982¬¬¬¬¬serial:C-64615¬0¬1¬<IPS>¬</IPS>¬¬¬
