ROM DataFile Version : 1.1
Defender¬defender¬¬¬./qp.exe¬Retroarch Entex Adventure Vision -SOFTLIST advision (MAME)¬Entex Industries¬1982¬¬¬¬¬serial:6075¬0¬1¬<IPS>¬</IPS>¬¬¬
Turtles¬turtles¬¬¬./qp.exe¬Retroarch Entex Adventure Vision -SOFTLIST advision (MAME)¬Entex Industries¬1982¬¬¬¬¬serial:6076¬0¬1¬<IPS>¬</IPS>¬¬¬
Super Cobra¬scobra¬¬¬./qp.exe¬Retroarch Entex Adventure Vision -SOFTLIST advision (MAME)¬Entex Industries¬1982¬¬¬¬¬serial:6077¬0¬1¬<IPS>¬</IPS>¬¬¬
Space Force¬spacefrc¬¬¬./qp.exe¬Retroarch Entex Adventure Vision -SOFTLIST advision (MAME)¬Entex Industries¬1982¬¬¬¬¬serial:6078¬0¬1¬<IPS>¬</IPS>¬¬¬
