ROM DataFile Version : 1.1
Acquire¬acquire¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Microcomputer Games¬1982¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Adverbs 1¬eaadv1n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Adverbs 2¬eaadv2n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Adverbs 3¬eaadv3n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Adverbs 4¬eaadv4n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Contractions 1¬eacon1n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Contractions 2¬eacon2n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Contractions 3¬eacon3n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Contractions 4¬eacon4n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Flash Spelling¬eaflasn¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Homonyms 1¬eahom1n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Homonyms 2¬eahom2n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Homonyms 3¬eahom3n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Homonyms 4¬eahom4n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Nouns 1¬eanou1n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Nouns 2¬eanou2n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Nouns 3¬eanou3n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Nouns 4¬eanou4n¬¬¬./qp.exe¬Retroarch Commodore PET 2001-4 -SOFTLIST pet_cass (MAME)¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
