ROM DataFile Version : 1.1
BIORYTHME¬biorythm¬¬¬./qp.exe¬MAME DAI Personal Computer -SOFTLIST dai_cass¬<unknown>¬198?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
DEMOGRAPHBV¬dgraph¬¬¬./qp.exe¬MAME DAI Personal Computer -SOFTLIST dai_cass¬<unknown>¬198?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
DESSIN¬dessin¬¬¬./qp.exe¬MAME DAI Personal Computer -SOFTLIST dai_cass¬<unknown>¬198?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LEWISCARROL¬lewiscar¬¬¬./qp.exe¬MAME DAI Personal Computer -SOFTLIST dai_cass¬<unknown>¬198?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MORPION¬morpion¬¬¬./qp.exe¬MAME DAI Personal Computer -SOFTLIST dai_cass¬<unknown>¬198?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
NAUTILUS¬nautilus¬¬¬./qp.exe¬MAME DAI Personal Computer -SOFTLIST dai_cass¬<unknown>¬198?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PREMIER¬premier¬¬¬./qp.exe¬MAME DAI Personal Computer -SOFTLIST dai_cass¬<unknown>¬198?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
RANDOM¬random¬¬¬./qp.exe¬MAME DAI Personal Computer -SOFTLIST dai_cass¬<unknown>¬198?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
