ROM DataFile Version : 1.1
TETRIS1¬tetris1¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
TETRIS4¬tetris4¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
TOCHKI¬tochki¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
UDAW¬udaw¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
UTKA¬utka¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
VOLCANO¬volcano¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
XONIX-S¬xonixs¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
XONIX¬xonix¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
XONIX1¬xonix1¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
XONIXZM¬xonixzm¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Z-STATIO¬zstatio¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ZAGIB¬zagib¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ZMEI¬zmei¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ASM_ED¬asmed¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ASSM_MIC¬assmmic¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BASIC80¬basic80¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BASIC_OK¬basicok¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BASIC_PR¬basicpr¬¬¬./qp.exe¬MAME Radio-86RK -SOFTLIST radio86_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
