ROM DataFile Version : 1.1
DIGGER3¬digger3¬¬¬./qp.exe¬Retroarch Lenin PK-01 Lviv -SOFTLIST lviv (MAME)¬<unknown>¬19??¬¬¬¬¬usage:Load with BLOAD"",R¬0¬1¬<IPS>¬</IPS>¬¬¬
DUCKS¬ducks¬¬¬./qp.exe¬Retroarch Lenin PK-01 Lviv -SOFTLIST lviv (MAME)¬<unknown>¬19??¬¬¬¬¬usage:Load with BLOAD"",R¬0¬1¬<IPS>¬</IPS>¬¬¬
F16¬f16¬¬¬./qp.exe¬Retroarch Lenin PK-01 Lviv -SOFTLIST lviv (MAME)¬<unknown>¬19??¬¬¬¬¬usage:Load with BLOAD"",R¬0¬1¬<IPS>¬</IPS>¬¬¬
FIREMAN¬fireman¬¬¬./qp.exe¬Retroarch Lenin PK-01 Lviv -SOFTLIST lviv (MAME)¬<unknown>¬19??¬¬¬¬¬usage:Load with BLOAD"",R¬0¬1¬<IPS>¬</IPS>¬¬¬
FLIGHT¬flight¬¬¬./qp.exe¬Retroarch Lenin PK-01 Lviv -SOFTLIST lviv (MAME)¬<unknown>¬19??¬¬¬¬¬usage:Load with BLOAD"",R¬0¬1¬<IPS>¬</IPS>¬¬¬
GIBBON¬gibbon¬¬¬./qp.exe¬Retroarch Lenin PK-01 Lviv -SOFTLIST lviv (MAME)¬<unknown>¬19??¬¬¬¬¬usage:Load with BLOAD"",R¬0¬1¬<IPS>¬</IPS>¬¬¬
GOLKIPER¬golkiper¬¬¬./qp.exe¬Retroarch Lenin PK-01 Lviv -SOFTLIST lviv (MAME)¬<unknown>¬19??¬¬¬¬¬usage:Load with BLOAD"",R¬0¬1¬<IPS>¬</IPS>¬¬¬
HORSE¬horse¬¬¬./qp.exe¬Retroarch Lenin PK-01 Lviv -SOFTLIST lviv (MAME)¬<unknown>¬19??¬¬¬¬¬usage:Load with BLOAD"",R¬0¬1¬<IPS>¬</IPS>¬¬¬
IRAQ91¬iraq91¬¬¬./qp.exe¬Retroarch Lenin PK-01 Lviv -SOFTLIST lviv (MAME)¬<unknown>¬19??¬¬¬¬¬usage:Load with BLOAD"",R¬0¬1¬<IPS>¬</IPS>¬¬¬
JETMAN¬jetman¬¬¬./qp.exe¬Retroarch Lenin PK-01 Lviv -SOFTLIST lviv (MAME)¬<unknown>¬19??¬¬¬¬¬usage:Load with BLOAD"",R¬0¬1¬<IPS>¬</IPS>¬¬¬
