ROM DataFile Version : 1.1
6GAMES¬6games¬¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Alien Ambush¬alambush¬¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬Sedov E. A.¬1990¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
The Ball Game¬ball¬¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬Sandy Pat Corp.¬1990¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Barmen (v1.5)¬barmen¬¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬ALG¬1988¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Bomber Aircraft¬bomber¬¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬Jup Corp¬1990¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Boulder Dash (v2)¬bdash¬¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬Clever Hands Software¬1989¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Chess¬chess¬¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cirk (v1.2)¬cirk¬¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬Popov S.N.¬1986¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cross Fire (v004)¬crossfir¬¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬Zyryanov A.V.¬1988¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
DIGGER¬digger¬¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
GARDEN¬garden¬¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
GONKA¬gonka¬¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
HOCKEY¬hockey¬¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
KINDZADZ¬kindzadz¬¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
KLAD¬klad¬¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LESTNICA¬lestnica¬¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LIFE¬life¬¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LIFE (Alt)¬lifea¬life¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LIQSKY¬liqsky¬¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MACH3¬mach3¬¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MARS¬mars¬¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MAZE¬maze¬¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MINES¬mines¬¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
OTHELLO¬othello¬¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PACMAN¬pacman¬¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PANIKA¬panika¬¬¬./qp.exe¬MAME Lianozovo Electromechanical Factory Mikrosha -SOFTLIST mikrosha_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
