ROM DataFile Version : 1.1
ROMDISK¬romdisk¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cart¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ORDOS403¬ordos403¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cart¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
