ROM DataFile Version : 1.1
Pinball Challenge (Alt)¬pinballa¬pinball¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Fairchild¬1978¬¬¬¬¬slot:std,series:Videocart 17¬0¬1¬<IPS>¬</IPS>¬¬¬
Hangman¬hangman¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Fairchild¬1978¬¬¬¬¬slot:hangman,series:Videocart 18¬0¬1¬<IPS>¬</IPS>¬¬¬
Ordtvling (Swe)¬ordtvlng¬hangman¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Luxor¬1978¬¬¬¬¬slot:hangman,series:Luxor 18¬0¬1¬<IPS>¬</IPS>¬¬¬
Rat' Mal (Ger)¬ratmal¬hangman¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬SABA¬197?¬¬¬¬¬slot:hangman,series:SABA 16¬0¬1¬<IPS>¬</IPS>¬¬¬
Checkers¬checkers¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Zircon¬1978¬¬¬¬¬slot:std,series:Videocart 19¬0¬1¬<IPS>¬</IPS>¬¬¬
Video Whizball¬whizball¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Fairchild¬1978¬¬¬¬¬slot:std,series:Videocart 20¬0¬1¬<IPS>¬</IPS>¬¬¬
Schach (Ger)¬schach¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬SABA¬197?¬¬¬¬¬slot:chess,series:SABA 20¬0¬1¬<IPS>¬</IPS>¬¬¬
Bowling¬bowling¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Fairchild/Zircon¬1978¬¬¬¬¬slot:std,series:Videocart 21¬0¬1¬<IPS>¬</IPS>¬¬¬
Slot Machine¬slotmchn¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Zircon¬1980¬¬¬¬¬slot:std,series:Videocart 22¬0¬1¬<IPS>¬</IPS>¬¬¬
Galactic Space Wars / Lunar Lander¬galactic¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Zircon¬1980¬¬¬¬¬slot:std,series:Videocart 23¬0¬1¬<IPS>¬</IPS>¬¬¬
Galactic Space Wars (Prototype)¬galacticp¬galactic¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Zircon¬1980¬¬¬¬¬slot:std¬0¬1¬<IPS>¬</IPS>¬¬¬
Pro Football¬pfootbll¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Zircon¬1981¬¬¬¬¬slot:std,series:Videocart 24¬0¬1¬<IPS>¬</IPS>¬¬¬
Football (Prototype)¬football¬pfootbll¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Zircon¬1981¬¬¬¬¬slot:std¬0¬1¬<IPS>¬</IPS>¬¬¬
Casino Poker¬casinop¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Zircon¬1980¬¬¬¬¬slot:std,series:Videocart 25¬0¬1¬<IPS>¬</IPS>¬¬¬
Draw Poker (Prototype)¬drawpkr¬casinop¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Zircon¬1980¬¬¬¬¬slot:std¬0¬1¬<IPS>¬</IPS>¬¬¬
Alien Invasion¬alieninv¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Zircon¬1981¬¬¬¬¬slot:std,series:Videocart 26¬0¬1¬<IPS>¬</IPS>¬¬¬
Werbetextcassette¬werbetxt¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Electronic-Partner¬198?¬¬¬¬¬slot:std¬0¬1¬<IPS>¬</IPS>¬¬¬
Color Organ (Prototype)¬clrorgan¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Zircon¬19??¬¬¬¬¬slot:std¬0¬1¬<IPS>¬</IPS>¬¬¬
Channel F Multi-Cart (Final)¬multicrt¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬<homebrew>¬2004¬¬¬¬¬slot:multi¬0¬1¬<IPS>¬</IPS>¬¬¬
Channel F Multi-Cart (Older)¬multicrto¬multicrt¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬<homebrew>¬2004¬¬¬¬¬slot:multi_old¬0¬1¬<IPS>¬</IPS>¬¬¬
