ROM DataFile Version : 1.1
Crazy Rider¬crazyrid¬¬¬./qp.exe¬MAME Acorn BBC Master 128 -SOFTLIST bbcm_cass¬Superior Software¬1987¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Exile¬exile¬¬¬./qp.exe¬MAME Acorn BBC Master 128 -SOFTLIST bbcm_cass¬Superior Software¬1988¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Repton Infinity¬reptonin¬¬¬./qp.exe¬MAME Acorn BBC Master 128 -SOFTLIST bbcm_cass¬Superior Software¬1988¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Strykers Run¬strykrun¬¬¬./qp.exe¬MAME Acorn BBC Master 128 -SOFTLIST bbcm_cass¬Superior Software¬1986¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Welcome¬welcome¬¬¬./qp.exe¬MAME Acorn BBC Master 128 -SOFTLIST bbcm_cass¬BBC Soft¬198?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
