ROM DataFile Version : 1.1
Acquire¬acquire¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Microcomputer Games¬1982¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 4¬cur4¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1978¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 5¬cur5¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1978¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 6¬cur6¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1979¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 7¬cur7¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1979¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 8¬cur8¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1979¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 9¬cur9¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1979¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 10¬cur10¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1979¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 11¬cur11¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1979¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 12¬cur12¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1979¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 13¬cur13¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1979¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 14¬cur14¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1979¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 15¬cur15¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1979¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 16¬cur16¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 17¬cur17¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 18¬cur18¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 19¬cur19¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 20¬cur20¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 21¬cur21¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 22¬cur22¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 23¬cur23¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 24¬cur24¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1981¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 25¬cur25¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1981¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 26¬cur26¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1981¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 27¬cur27¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1981¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 28¬cur28¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1981¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 29¬cur29¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1982¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Cursor 30¬cur30¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬The Code Works¬1982¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Draw Poker¬dpoker¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Commodore Business Machines, Inc.¬1978¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Adjectives 1¬eaadj1n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Adjectives 2¬eaadj2n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Adjectives 3¬eaadj3n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Adjectives 4¬eaadj4n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity rRecords, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Adverbs 1¬eaadv1n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Adverbs 2¬eaadv2n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Adverbs 3¬eaadv3n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Adverbs 4¬eaadv4n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Contractions 1¬eacon1n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Contractions 2¬eacon2n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Contractions 3¬eacon3n¬¬¬./qp.exe¬MAME Commodore PET 2001-4 -SOFTLIST pet_cass¬Activity Records, Inc.¬1980¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
