ROM DataFile Version : 1.1
KALAH¬kalah¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
KLAD¬klad¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
KRESTNO¬krestno¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
KRESTNO (Alt)¬krestnoa¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
KROK¬krok¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LABYRINT¬labyrint¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LEST¬lest¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LESTN1¬lestn1¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LIFE¬life¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LORUNNER¬lorunner¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MAZE¬maze¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
OTELLO¬otello¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PACMAN¬pacman¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PACMAN (Alt)¬pacmana¬pacman¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PACMAN1¬pacman1¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PAKET¬paket¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PAKET2¬paket2¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PINGPONG¬pingpong¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PITON¬piton¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
