ROM DataFile Version : 1.1
disk2¬disk2¬¬¬./qp.exe¬MAME Mikroelektronika Pyldin-601 -SOFTLIST pyl601¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
disk3¬disk3¬¬¬./qp.exe¬MAME Mikroelektronika Pyldin-601 -SOFTLIST pyl601¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
disk4¬disk4¬¬¬./qp.exe¬MAME Mikroelektronika Pyldin-601 -SOFTLIST pyl601¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
disk5¬disk5¬¬¬./qp.exe¬MAME Mikroelektronika Pyldin-601 -SOFTLIST pyl601¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
games¬games¬¬¬./qp.exe¬MAME Mikroelektronika Pyldin-601 -SOFTLIST pyl601¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
system¬system¬¬¬./qp.exe¬MAME Mikroelektronika Pyldin-601 -SOFTLIST pyl601¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
sash¬sash¬¬¬./qp.exe¬MAME Mikroelektronika Pyldin-601 -SOFTLIST pyl601¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
