ROM DataFile Version : 1.1
LANDMINE¬landmine¬¬¬./qp.exe¬Retroarch Zavod BRA Apogee BK-01 -SOFTLIST apogee (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LESTN¬lestn¬¬¬./qp.exe¬Retroarch Zavod BRA Apogee BK-01 -SOFTLIST apogee (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LESTNICA¬lestnica¬¬¬./qp.exe¬Retroarch Zavod BRA Apogee BK-01 -SOFTLIST apogee (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LIFE¬life¬¬¬./qp.exe¬Retroarch Zavod BRA Apogee BK-01 -SOFTLIST apogee (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LIFE1¬life1¬¬¬./qp.exe¬Retroarch Zavod BRA Apogee BK-01 -SOFTLIST apogee (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LIQSKY¬liqsky¬¬¬./qp.exe¬Retroarch Zavod BRA Apogee BK-01 -SOFTLIST apogee (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LODERUN¬loderun¬¬¬./qp.exe¬Retroarch Zavod BRA Apogee BK-01 -SOFTLIST apogee (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LRUNNER¬lrunner¬¬¬./qp.exe¬Retroarch Zavod BRA Apogee BK-01 -SOFTLIST apogee (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MARAFON¬marafon¬¬¬./qp.exe¬Retroarch Zavod BRA Apogee BK-01 -SOFTLIST apogee (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MARS¬mars¬¬¬./qp.exe¬Retroarch Zavod BRA Apogee BK-01 -SOFTLIST apogee (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MARS (Alt)¬marsa¬mars¬¬./qp.exe¬Retroarch Zavod BRA Apogee BK-01 -SOFTLIST apogee (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MARSH2¬marsh2¬¬¬./qp.exe¬Retroarch Zavod BRA Apogee BK-01 -SOFTLIST apogee (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MESH¬mesh¬¬¬./qp.exe¬Retroarch Zavod BRA Apogee BK-01 -SOFTLIST apogee (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MIRAGE¬mirage¬¬¬./qp.exe¬Retroarch Zavod BRA Apogee BK-01 -SOFTLIST apogee (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MUS1¬mus1¬¬¬./qp.exe¬Retroarch Zavod BRA Apogee BK-01 -SOFTLIST apogee (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MUS2¬mus2¬¬¬./qp.exe¬Retroarch Zavod BRA Apogee BK-01 -SOFTLIST apogee (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MUS3¬mus3¬¬¬./qp.exe¬Retroarch Zavod BRA Apogee BK-01 -SOFTLIST apogee (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MUS4¬mus4¬¬¬./qp.exe¬Retroarch Zavod BRA Apogee BK-01 -SOFTLIST apogee (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MUS5¬mus5¬¬¬./qp.exe¬Retroarch Zavod BRA Apogee BK-01 -SOFTLIST apogee (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MUS6¬mus6¬¬¬./qp.exe¬Retroarch Zavod BRA Apogee BK-01 -SOFTLIST apogee (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
MUS7¬mus7¬¬¬./qp.exe¬Retroarch Zavod BRA Apogee BK-01 -SOFTLIST apogee (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
